# id	left	top	right	bottom	texture_id
[SPRITES]
#################### BIG MARIO  ####################################
# idle right
10001	216	243	230	269	30

# IDLE LEFT
10002	176	243	190	269	30

# WALK RIGHT

10003	255	243	271	269	30	
10004	295	243	311	269	30

# WALK LEFT

10005	135	243	151	269	30
10006	95	243	111	269	30

#JUMP RIGHT

10007	335	244	351	270	30

#JUMP LEFT

10008	55	244	71	270	30

# RUN MAX RIGHT

10009	214	323	232	349	30
10010	254	323	272	349	30
10011	294	324	312	349	30

# RUN MAX LEFT

10012	175	323	193	349	30
10013	135	323	153	349	30
10014	95	324	113	349	30

#WALK TO RIGHT BACK LEFT

10015	215	283	231	311	30

#WALK TO LEFT BACK RIGHT

10016	175	283	191	311	30

#SIT RIGHT 

10017	376	248	390	266	30

#SIT LEFT

10018	16	248	30	266	30

# RUNNING JUMP RIGHT

10019	334	364	352	389	30

# RUNNING JUMP LEFT

10020	55	364	73	389	30

#FALL RIGHT

10021	295	244	311	270	30

#FALL LEFT

10022	95	244	111	270	30

#HOLD IDLE RIGHT

10023	331	323	345	349	30

#HOLD IDLE LEFT

10024	61	323	75	349	30

#HOLD WALK RIGHT

10025	357	323	371	349	30
10026	382	323	396	349	30

#HOLD WALK LEFT

10027	35	323	49	349	30
10028	10	323	24	349	30

# KICK RIGHT

10029	253	283	273	309	30

#KICK LEFT

10030	134	283	154	309	30

#IN PIPE

10031	15	283	31	310	30

#IN WORLD MAP

10032	55	6	71	27	30
10033	55	46	71	67	30

##################### SMALL MARIO #######################################

#IDLE RIGHT

11001	217	89	229	105	30

#IDLE LEFT

11002	177	89	189	105	30

#WALK RIGHT

11003	257	89	271	105	30

#WALK LEFT

11004	135	89	149	105	30

#JUMP RIGHT

11005	335	89	351	105	30

#JUMP LEFT 

11006	55	89	71	105	30

#RUN MAX RIGHT

11007	215	169	231	185	30
11008	255	169	271	185	30

# RUN MAX LEFT

11009	175	169	191	185	30
11010	135	169	151	185	30

#WALK TO RIGHT BACK LEFT

11011	216	129	230	145	30

#WALK TO LEFT BACK RIGHT

11012	176	129	190	145	30

#RUNNING JUMP RIGHT

11013	215	209	231	225	30

